381,143
954,841
1061,183
654,247
30,192
72,215
1223,680
512,367
150,747
85,890
495,127
714,710
31,238
242,878
1218,772
862,654
1190,710
112,229
276,679
1225,240
1104,654
1120,175
266,690
142,79
977,639
626,203
1134,147
898,206
438,731
75,800
731,576
932,287
283,236
659,222
241,751
682,182
305,612
651,218
152,491
890,100
788,823
1198,229
842,189
1283,789
887,113
17,679
92,122
831,21
894,637
803,52
1235,36
373,669
512,444
864,376
184,316
104,822
303,340
82,289
465,878
890,794
1041,29
925,116
847,553
905,330
296,382
708,387
1255,718
530,669
977,460
1153,568
30,30
350,740
872,781
944,893
1069,143
438,427
1222,425
925,555
1034,215
547,379
1233,567
982,373
1054,754
110,508
214,550
291,505
1036,163
1089,834
1223,214
569,415
1179,534
529,578
206,654
1082,551
495,655
353,871
528,838
224,431
380,283
455,505
1168,130
626,483
687,758
3,672
55,340
907,599
124,369
328,73
1123,396
194,171
903,892
80,660
277,184
1233,631
736,821
13,750
562,502
1307,373
447,65
654,763
43,130
781,578
711,610
159,319
323,890
1164,679
535,829
888,178
1190,240
110,59
370,800
135,789
1111,389
27,789
1283,229
828,315
1175,789
736,597
857,578
1151,486
1236,693
1218,271
1087,444
741,206
947,420
803,207
1178,7
756,808
507,394
1178,439
550,126
1233,782
1218,392
13,669
805,893
1153,12
58,236
1094,337
689,684
793,464
176,747
338,102
402,21
1004,652
1044,876
1200,59
900,458
238,469
1242,579
1163,388
142,415
574,682
684,203
518,271
359,126
522,103
20,541
1168,344
756,86
117,673
454,838
763,379
982,719
132,119
202,416
623,880
1297,750
1297,669
1101,730
723,561
1210,346
579,576
888,40
135,658
589,599
944,445
201,354
1240,779
175,626
1005,612
462,365
1168,792
897,143
395,687
311,239
1233,711
364,488
266,876
1225,767
924,408
602,785
492,323
618,591
997,673
728,763
1168,450
77,711
782,838
820,312
780,221
835,282
682,600
733,858
1252,184
326,424
403,599
320,425
885,798
693,876
954,467
586,315
127,540
282,334
162,246
58,122
862,206
946,854
582,315
579,688
159,224
1297,228
691,551
348,176
49,184
904,430
940,352
55,718
525,98
268,408
1168,367
512,311
1178,190
704,54
982,315
1052,635
432,574
940,542
937,893
792,175
405,241
577,782
512,226
313,673
266,602
474,231
885,730
554,86
105,50
594,689
628,600
522,375
140,408
576,766
1134,747
366,893
1020,488
1307,72
878,320
855,729
773,92
298,871
85,767
25,603
862,10
1282,19
753,388
311,500
185,108
277,374
967,207
699,289
969,225
328,358
80,297
733,782
669,666
815,127
1049,599
1206,822
1280,330
1285,695
231,409
925,778
3,879
726,660
146,679
651,73
387,551
52,11
120,436
1141,528
1046,429
95,561
28,691
549,60
21,612
744,201
408,361
304,826
75,878
1039,4
897,222
1235,654
915,207
1260,663
387,343
77,40
542,229
1119,117
684,427
924,684
788,375
651,676
572,798
741,448
616,100
464,679
686,416
132,551
1094,557
750,707
579,206
97,718
748,271
276,635
651,374
1022,557
124,669
229,164
758,207
693,764
142,444
92,772
1210,824
416,649
266,428
956,712
1124,714
224,483
209,164
1225,127
1109,204
420,516
1086,154
507,52
999,394
969,669
1168,479
88,245
1141,814
736,350
1282,203
792,600
863,513
1258,355
94,187
880,411
1062,16
768,229
686,390
894,245
914,623
157,12
52,387
378,623
894,693
1203,442
94,35
1218,563
453,578
551,86
659,521
1072,705
254,91
1186,525
659,218
627,789
728,131
888,707
656,22
224,17
1109,652
820,548
932,831
679,219
309,455
944,449
1216,854
1059,815
962,176
1068,16
1069,751
1260,792
226,536
1044,154
60,226
946,406
393,14
1086,226
378,831
890,516
431,444
853,868
401,887
631,675
617,802
194,723
542,217
813,882
1275,119
1232,318
1034,565
753,718
932,259
1242,271
268,184
460,275
167,94
1178,847
599,340
623,758
1151,821
377,798
1068,878
258,635
1034,550
462,81
604,439
1251,343
731,688
376,632
1181,882
1125,786
999,500
364,504
50,834
621,684
396,44
1245,151
1161,414
1021,466
1088,822
184,652
334,425
266,204
758,707
535,381
464,623
43,289
224,226
175,873
416,245
628,712
1237,455
1272,150
1126,653
1012,759
68,271
715,343
350,154
1235,800
1250,226
244,10
944,1
629,654
157,326
1001,7
388,674
589,606
922,292
517,430
733,205
410,605
1280,504
184,653
1015,598
238,189
659,676
1193,673
748,772
905,564
907,634
377,350
572,884
582,131
626,243
1034,679
798,31
120,240
28,243
478,147
284,38
654,647
792,719
492,312
189,654
74,873
708,539
249,183
602,539
537,506
628,47
651,521
296,512
624,116
604,565
890,563
1260,455
785,658
